lga_name,year,median_rent,offence_count,independent_schools,total_schools,gp_clinics_per_1000,allied_health_per_1000,dental_sites_per_1000,pharmacies_per_1000,acsc_per_1000,address,suburb,latitude,longitude,straight_line_km,driving_km
ALPINE,1999,120.0,,,,,,,,,,,,,,
ALPINE,1999,125.0,,,,,,,,,,,,,,
ALPINE,1999,120.0,,,,,,,,,,,,,,
ALPINE,2000,128.0,,,,,,,,,,,,,,
ALPINE,2000,135.0,,,,,,,,,,,,,,
ALPINE,2000,128.0,,,,,,,,,,,,,,
ALPINE,2000,130.0,,,,,,,,,,,,,,
ALPINE,2001,125.0,,,,,,,,,,,,,,
ALPINE,2001,130.0,,,,,,,,,,,,,,
ALPINE,2001,135.0,,,,,,,,,,,,,,
ALPINE,2001,130.0,,,,,,,,,,,,,,
ALPINE,2002,130.0,,,,,,,,,,,,,,
ALPINE,2002,130.0,,,,,,,,,,,,,,
ALPINE,2002,135.0,,,,,,,,,,,,,,
ALPINE,2002,140.0,,,,,,,,,,,,,,
ALPINE,2003,143.0,,,,,,,,,,,,,,
ALPINE,2003,135.0,,,,,,,,,,,,,,
ALPINE,2003,143.0,,,,,,,,,,,,,,
ALPINE,2003,145.0,,,,,,,,,,,,,,
ALPINE,2004,150.0,,,,,,,,,,,,,,
ALPINE,2004,150.0,,,,,,,,,,,,,,
ALPINE,2004,160.0,,,,,,,,,,,,,,
ALPINE,2004,147.0,,,,,,,,,,,,,,
ALPINE,2005,160.0,,,,,,,,,,,,,,
ALPINE,2005,160.0,,,,,,,,,,,,,,
ALPINE,2005,170.0,,,,,,,,,,,,,,
ALPINE,2005,166.0,,,,,,,,,,,,,,
ALPINE,2006,165.0,,,,,,,,,,,,,,
ALPINE,2006,175.0,,,,,,,,,,,,,,
ALPINE,2006,180.0,,,,,,,,,,,,,,
ALPINE,2006,180.0,,,,,,,,,,,,,,
ALPINE,2007,190.0,,,,,,,,,,,,,,
ALPINE,2007,190.0,,,,,,,,,,,,,,
ALPINE,2007,188.0,,,,,,,,,,,,,,
ALPINE,2007,185.0,,,,,,,,,,,,,,
ALPINE,2008,190.0,,,,,,,,,,,,,,
ALPINE,2008,190.0,,,,,,,,,,,,,,
ALPINE,2008,200.0,,,,,,,,,,,,,,
ALPINE,2008,200.0,,,,,,,,,,,,,,
ALPINE,2009,200.0,,,,,,,,,,,,,,
ALPINE,2009,200.0,,,,,,,,,,,,,,
ALPINE,2009,200.0,,,,,,,,,,,,,,
ALPINE,2009,200.0,,,,,,,,,,,,,,
ALPINE,2010,210.0,,,,,,,,,,,,,,
ALPINE,2010,210.0,,,,,,,,,,,,,,
ALPINE,2010,200.0,,,,,,,,,,,,,,
ALPINE,2010,190.0,,,,,,,,,,,,,,
ALPINE,2011,230.0,,,,,,,,,,,,,,
ALPINE,2011,220.0,,,,,,,,,,,,,,
ALPINE,2011,220.0,,,,,,,,,,,,,,
ALPINE,2011,223.0,,,,,,,,,,,,,,
ALPINE,2012,210.0,,,,,,,,,,,,,,
ALPINE,2012,220.0,,,,,,,,,,,,,,
ALPINE,2012,240.0,,,,,,,,,,,,,,
ALPINE,2012,228.0,,,,,,,,,,,,,,
ALPINE,2013,250.0,,,,,,,,,,,,,,
ALPINE,2013,225.0,,,,,,,,,,,,,,
ALPINE,2013,230.0,,,,,,,,,,,,,,
ALPINE,2013,230.0,,,,,,,,,,,,,,
ALPINE,2014,250.0,,,,,,,,,,,,,,
