Suburb,Suburb.1,Straight Line Distance to Melbourne CBD (kilometres),Driving distance (kilometres using most direct route ie tolls),Drive time with no traffic (estimated by Google Maps via time taken at 2am in minutes),Drive time with peak hour traffic (estimated by Google Maps via average time taken at 8am in minutes),Differential: peak hour less no traffic,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,latitude,longitude
Banyule,"Level 3, 1 Flintoff Street, Greensborough, VIC 3088",17.51,22.0,26.0,30.0,4.0,,,,,-37.704158647779,145.105014408522
Brimbank,"301 Hampshire Rd, Sunshine VIC 3020",12.13,13.9,20.0,45.0,25.0,,,,,-37.783168939773,144.832061168194
Darebin,"274 Gower Street, Preston, VIC 3072",9.14,10.1,16.0,45.0,29.0,,,,,-37.73985838878,145.004601639232
Hobsons Bay,"115 Civic Parade, Altona, VIC 3018",12.87,17.1,22.0,37.0,15.0,,,,,-37.86324448784,144.829661345496
Hume,"1079 Pascoe Vale Road, Broadmeadows, VIC 3047",15.37,16.2,22.0,41.5,19.5,,,,,-37.681365738474,144.916632391939
Maribyrnong,"61 Napier St, Footscray VIC 3011",5.7,6.6,12.0,23.5,11.5,,,,,-37.804866837247,144.900557745667
Melbourne,"Melbourne Town Hall, 120 Swanston Street, Melbourne VIC 3000.",0.23,0.75,4.0,5.0,1.0,,,,,-37.81491279966,144.966771511811
Melton,"232 High Street, Melton, VIC 3337",36.32,43.3,35.0,65.0,30.0,,,,,-37.672117020782,144.579686925085
Merri-bek,"90 Bell Street, Coburg, VIC 3058",8.28,8.9,14.0,38.5,24.5,,,,,-37.741111483304,144.970262323027
Moonee Valley,"9 Kellaway Avenue, Moonee Ponds, VIC 3039",6.65,6.7,12.0,34.0,22.0,,,,,-37.764181624057,144.925045475794
Nillumbik,"32 Civic Drive, Greensborough, VIC 3088",18.94,24.4,30.0,57.5,27.5,,,,,-37.688630669233,145.107287580663
Whittlesea,"63 Church Street, Whittlesea, VIC 3757",36.34,40.4,50.0,102.5,52.5,,,,,-37.512356353697,145.117583910524
Wyndham,"45 Princes Highway, Werribee, VIC 3030",27.35,30.7,28.0,52.5,24.5,,,,,-37.896873479661,144.67038808608
Yarra,"333 Bridge Road, Richmond, VIC 3121",3.25,4.7,12.0,20.0,8.0,,,,,-37.81838936164,145.000705311541
Boroondara,"8 Inglesby Road, Camberwell, Victoria 3124",8.61,10.6,16.0,33.5,17.5,,,,,-37.834327131433,145.058668351294
Knox,"511 Burwood Highway, Wantirna South, VIC 3152",25.51,34.8,30.0,62.5,32.5,,,,,-37.871064091041,145.245423608108
Manningham,"699 Doncaster Road, Doncaster, Victoria 3108",15.18,18.5,20.0,49.0,29.0,,,,,-37.78502175947,145.132817432812
Maroondah,"179 Maroondah Highway, Ringwood VIC 3134",24.24,28.0,26.0,57.5,31.5,,,,,-37.813050340774,145.229123321003
Monash,"293 Springvale Road, Glen Waverley 3150",19.14,24.6,26.0,45.0,19.0,,,,,-37.882541933974,145.164274380153
Whitehorse,"399 Whitehorse Road, Nunawading, VIC 3131",19.08,21.8,24.0,55.0,31.0,,,,,-37.816679704849,145.182195894971
Yarra Ranges,"15 Anderson Street, Lilydale, VIC 3140",34.81,41.1,40.0,80.0,40.0,,,,,-37.760316225588,145.352302680422
Bayside,"76 Royal Avenue, Sandringham, VIC 3191",16.74,18.9,24.0,52.5,28.5,,,,,-37.959758666325,145.015648484703
Cardinia,"20 Siding Avenue, Officer, VIC 3809",48.28,54.3,40.0,85.0,45.0,,,,,-38.065814719566,145.413100228372
Casey,"2 Patrick Northeast Drive, Narre Warren, VIC 3805",37.33,41.9,40.0,67.5,27.5,,,,,-38.018811898315,145.299731551343
Frankston,"30 Davey Street, Frankston 3199",39.47,47.7,45.0,77.5,32.5,,,,,-38.147190342726,145.122528395207
Glen Eira,"Corner Glen Eira and Hawthorn Roads, Caulfield South, VIC 3162",8.9,12.0,16.0,45.5,29.5,,,,,-37.880030087139,145.023354806482
Greater Dandenong,"225 Lonsdale St, Dandenong VIC 3175",29.25,35.2,30.0,67.5,37.5,,,,,-37.988646099339,145.213918464824
Kingston,"1230 Nepean Hwy, Cheltenham VIC 3192",18.71,20.3,24.0,65.0,41.0,,,,,-37.966227316282,145.057530424119
Mornington Penin'a,"90 Besgrove Street, Rosebud, VIC 3939",62.11,84.8,65.0,100.0,35.0,,,,,-38.370532145896,144.891388195051
Port Phillip,"99a Carlisle Street, St Kilda, VIC 3182",6.31,8.4,12.0,32.5,20.5,,,,,-37.868686270839,144.988622043742
Stonnington,"311 Glenferrie Road, Malvern, VIC 3144",7.31,10.2,16.0,29.0,13.0,,,,,-37.855955249563,145.029065480935
,,,,,,,,,,,-37.814602648287,145.137999334903
,,,,,,,,,,,-37.814602648287,145.137999334903
,,,,,,,,,,,-37.814602648287,145.137999334903
