lga_name,year,median_rent
Colac-Otway,1999,115.0
Corangamite,1999,93.0
Glenelg,1999,110.0
Greater Geelong,1999,135.0
Moyne,1999,130.0
Queenscliffe,1999,135.0
Southern Grampians,1999,110.0
Surf Coast,1999,145.0
Warrnambool,1999,130.0
Ararat,1999,110.0
Ballarat,1999,130.0
Golden Plains,1999,140.0
Hepburn,1999,130.0
Hindmarsh,1999,93.0
Horsham,1999,115.0
Moorabool,1999,145.0
Northern Grampians,1999,105.0
Pyrenees,1999,115.0
West Wimmera,1999,77.0
Yarriambiack,1999,80.0
Buloke,1999,85.0
Campaspe,1999,135.0
Central Goldfields,1999,110.0
Gannawarra,1999,100.0
Greater Bendigo,1999,135.0
Loddon,1999,85.0
Macedon Ranges,1999,140.0
Mildura,1999,130.0
Mount Alexander,1999,120.0
Swan Hill,1999,130.0
Alpine,1999,120.0
Benalla,1999,120.0
Greater Shepparton,1999,135.0
Indigo,1999,128.0
Mansfield,1999,130.0
Mitchell,1999,128.0
Moira,1999,125.0
Murrindindi,1999,123.0
Strathbogie,1999,110.0
Towong,1999,120.0
Wangaratta,1999,125.0
Wodonga,1999,140.0
Bass Coast,1999,111.0
Baw Baw,1999,125.0
East Gippsland,1999,120.0
Latrobe,1999,110.0
South Gippsland,1999,110.0
Wellington,1999,115.0
Banyule,1999,180.0
Brimbank,1999,150.0
Darebin,1999,150.0
Hobsons Bay,1999,165.0
Hume,1999,165.0
Maribyrnong,1999,140.0
Melbourne,1999,270.0
Melton,1999,150.0
Merri-bek,1999,155.0
Moonee Valley,1999,170.0
Nillumbik,1999,200.0
Whittlesea,1999,165.0
Wyndham,1999,160.0
Yarra,1999,225.0
Boroondara,1999,220.0
Knox,1999,180.0
Manningham,1999,215.0
Maroondah,1999,160.0
Monash,1999,190.0
Whitehorse,1999,185.0
Yarra Ranges,1999,155.0
Bayside,1999,250.0
Cardinia,1999,155.0
Casey,1999,160.0
Frankston,1999,150.0
Glen Eira,1999,180.0
Greater Dandenong,1999,140.0
Kingston,1999,165.0
Mornington Penin'a,1999,140.0
Port Phillip,1999,205.0
Stonnington,1999,200.0
Victoria,1999,160.0
Metro,1999,170.0
Non-Metro,1999,125.0
Victoria,1999,160.0
Colac-Otway,1999,113.0
Corangamite,1999,90.0
Glenelg,1999,100.0
Greater Geelong,1999,135.0
Moyne,1999,120.0
Queenscliffe,1999,160.0
Southern Grampians,1999,105.0
Surf Coast,1999,150.0
Warrnambool,1999,130.0
Ararat,1999,100.0
Ballarat,1999,130.0
Golden Plains,1999,135.0
Hepburn,1999,130.0
Hindmarsh,1999,85.0
Horsham,1999,115.0
Moorabool,1999,148.0
Northern Grampians,1999,110.0
Pyrenees,1999,120.0
West Wimmera,1999,90.0
Yarriambiack,1999,80.0
Buloke,1999,90.0
Campaspe,1999,140.0
Central Goldfields,1999,110.0
Gannawarra,1999,100.0
Greater Bendigo,1999,135.0
Loddon,1999,85.0
Macedon Ranges,1999,150.0
Mildura,1999,140.0
Mount Alexander,1999,130.0
Swan Hill,1999,130.0
Alpine,1999,125.0
Benalla,1999,123.0
Greater Shepparton,1999,140.0
Indigo,1999,130.0
Mansfield,1999,125.0
Mitchell,1999,130.0
Moira,1999,125.0
Murrindindi,1999,115.0
Strathbogie,1999,103.0
Towong,1999,100.0
Wangaratta,1999,125.0
Wodonga,1999,140.0
Bass Coast,1999,110.0
Baw Baw,1999,130.0
East Gippsland,1999,118.0
Latrobe,1999,110.0
South Gippsland,1999,110.0
Wellington,1999,110.0
Banyule,1999,180.0
Brimbank,1999,155.0
Darebin,1999,155.0
Hobsons Bay,1999,170.0
Hume,1999,170.0
Maribyrnong,1999,145.0
Melbourne,1999,270.0
Melton,1999,150.0
Merri-bek,1999,160.0
Moonee Valley,1999,175.0
Nillumbik,1999,200.0
Whittlesea,1999,165.0
Wyndham,1999,160.0
Yarra,1999,235.0
Boroondara,1999,210.0
Knox,1999,180.0
Manningham,1999,210.0
Maroondah,1999,165.0
Monash,1999,190.0
Whitehorse,1999,185.0
Yarra Ranges,1999,155.0
Bayside,1999,265.0
Cardinia,1999,155.0
Casey,1999,165.0
Frankston,1999,150.0
Glen Eira,1999,179.0
Greater Dandenong,1999,135.0
Kingston,1999,165.0
