Year,Year ending,Police Region,Local Government Area, Offence Count ," Rate per 100,000 population "
2025,December,1 North West Metro, Banyule," 11,496 "," 8,647.3 "
2025,December,1 North West Metro, Brimbank," 18,798 "," 9,437.8 "
2025,December,1 North West Metro, Darebin," 17,322 "," 10,706.2 "
2025,December,1 North West Metro, Hobsons Bay," 7,870 "," 8,123.4 "
2025,December,1 North West Metro, Hume," 23,441 "," 8,364.7 "
2025,December,1 North West Metro, Maribyrnong," 12,466 "," 13,078.1 "
2025,December,1 North West Metro, Melbourne," 46,695 "," 23,997.8 "
2025,December,1 North West Metro, Melton," 16,851 "," 7,219.4 "
2025,December,1 North West Metro, Merri-bek," 14,671 "," 7,770.7 "
2025,December,1 North West Metro, Moonee Valley," 10,329 "," 7,876.2 "
2025,December,1 North West Metro, Nillumbik," 2,353 "," 3,681.5 "
2025,December,1 North West Metro, Whittlesea," 18,378 "," 7,048.4 "
2025,December,1 North West Metro, Wyndham," 24,450 "," 7,001.1 "
2025,December,1 North West Metro, Yarra," 15,763 "," 15,435.6 "
2025,December,1 North West Metro,Total," 240,883 "," 9,672.9 "
2025,December,2 Eastern, Alpine, 555 ," 4,196.9 "
2025,December,2 Eastern, Bass Coast," 3,822 "," 8,622.4 "
2025,December,2 Eastern, Baw Baw," 5,193 "," 8,228.7 "
2025,December,2 Eastern, Benalla," 1,556 "," 10,557.3 "
2025,December,2 Eastern, Boroondara," 9,964 "," 5,549.3 "
2025,December,2 Eastern, East Gippsland," 6,497 "," 13,055.1 "
2025,December,2 Eastern, Greater Shepparton," 10,548 "," 14,954.8 "
2025,December,2 Eastern, Indigo, 598 ," 3,341.1 "
2025,December,2 Eastern, Knox," 10,537 "," 6,423.9 "
2025,December,2 Eastern, Latrobe," 14,172 "," 17,839.9 "
2025,December,2 Eastern, Manningham," 5,053 "," 3,806.9 "
2025,December,2 Eastern, Mansfield, 402 ," 3,664.4 "
2025,December,2 Eastern, Maroondah," 9,033 "," 7,514.9 "
2025,December,2 Eastern, Mitchell," 5,591 "," 9,406.1 "
2025,December,2 Eastern, Moira," 2,751 "," 8,887.2 "
2025,December,2 Eastern, Monash," 15,092 "," 7,127.2 "
2025,December,2 Eastern, Murrindindi, 885 ," 5,638.6 "
2025,December,2 Eastern, South Gippsland," 2,633 "," 8,420.5 "
2025,December,2 Eastern, Strathbogie, 672 ," 5,665.3 "
2025,December,2 Eastern, Towong, 210 ," 3,358.8 "
2025,December,2 Eastern, Wangaratta," 2,889 "," 9,522.8 "
2025,December,2 Eastern, Wellington," 5,680 "," 12,111.1 "
2025,December,2 Eastern, Whitehorse," 11,844 "," 6,384.2 "
2025,December,2 Eastern, Wodonga," 4,260 "," 9,334.1 "
2025,December,2 Eastern, Yarra Ranges," 8,307 "," 5,163.6 "
2025,December,2 Eastern,Total," 138,744 "," 7,720.8 "
2025,December,3 Southern Metro, Bayside," 5,554 "," 5,194.5 "
2025,December,3 Southern Metro, Cardinia," 9,665 "," 7,195.1 "
2025,December,3 Southern Metro, Casey," 31,012 "," 7,425.9 "
2025,December,3 Southern Metro, Frankston," 17,293 "," 11,894.2 "
2025,December,3 Southern Metro, Glen Eira," 7,715 "," 4,737.2 "
2025,December,3 Southern Metro, Greater Dandenong," 22,184 "," 13,139.0 "
2025,December,3 Southern Metro, Kingston," 12,282 "," 7,320.5 "
2025,December,3 Southern Metro, Mornington Peninsula," 12,194 "," 7,088.9 "
2025,December,3 Southern Metro, Port Phillip," 15,872 "," 13,835.3 "
2025,December,3 Southern Metro, Stonnington," 13,842 "," 12,012.2 "
2025,December,3 Southern Metro,Total," 147,613 "," 8,654.1 "
2025,December,4 Western, Ararat," 1,566 "," 13,390.8 "
2025,December,4 Western, Ballarat," 14,481 "," 11,695.2 "
2025,December,4 Western, Buloke, 287 ," 4,877.3 "
2025,December,4 Western, Campaspe," 3,914 "," 10,244.5 "
2025,December,4 Western, Central Goldfields," 1,441 "," 10,449.9 "
2025,December,4 Western, Colac-Otway," 1,934 "," 8,656.8 "
2025,December,4 Western, Corangamite, 992 ," 6,284.7 "
2025,December,4 Western, Gannawarra, 862 ," 8,293.9 "
2025,December,4 Western, Glenelg," 2,489 "," 12,431.3 "
2025,December,4 Western, Golden Plains, 803 ," 2,988.0 "
2025,December,4 Western, Greater Bendigo," 12,282 "," 9,633.8 "
2025,December,4 Western, Greater Geelong," 25,574 "," 8,641.1 "
2025,December,4 Western, Hepburn, 806 ," 4,750.2 "
2025,December,4 Western, Hindmarsh, 367 ," 6,724.4 "
2025,December,4 Western, Horsham," 2,646 "," 12,946.8 "
2025,December,4 Western, Loddon, 517 ," 6,652.3 "
2025,December,4 Western, Macedon Ranges," 2,620 "," 4,801.3 "
2025,December,4 Western, Mildura," 8,180 "," 14,115.9 "
2025,December,4 Western, Moorabool," 3,502 "," 8,612.7 "
2025,December,4 Western, Mount Alexander," 1,458 "," 6,929.8 "
2025,December,4 Western, Moyne, 724 ," 4,069.8 "
2025,December,4 Western, Northern Grampians," 1,584 "," 13,475.1 "
2025,December,4 Western, Pyrenees, 528 ," 6,576.1 "
2025,December,4 Western, Queenscliffe, 76 ," 2,142.4 "
2025,December,4 Western, Southern Grampians," 1,267 "," 7,661.9 "
2025,December,4 Western, Surf Coast," 1,277 "," 3,149.4 "
2025,December,4 Western, Swan Hill," 2,322 "," 11,053.7 "
2025,December,4 Western, Warrnambool," 3,662 "," 10,059.1 "
2025,December,4 Western, West Wimmera, 180 ," 4,681.2 "
2025,December,4 Western, Yarriambiack, 507 ," 8,068.6 "
2025,December,4 Western,Total," 98,848 "," 8,962.9 "
2025,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 2,167 ",  
2025,December,Justice Institutions and Immigration Facilities,Total," 2,167 ",  
2025,December,Unincorporated Vic, Unincorporated Vic, 123 ,  
2025,December,Unincorporated Vic,Total, 123 ,  
2024,December,1 North West Metro, Banyule," 10,171 "," 7,709.3 "
2024,December,1 North West Metro, Brimbank," 18,524 "," 9,348.4 "
2024,December,1 North West Metro, Darebin," 17,669 "," 11,045.7 "
2024,December,1 North West Metro, Hobsons Bay," 7,458 "," 7,798.6 "
2024,December,1 North West Metro, Hume," 21,981 "," 8,089.9 "
2024,December,1 North West Metro, Maribyrnong," 11,771 "," 12,489.0 "
2024,December,1 North West Metro, Melbourne," 42,746 "," 22,571.4 "
2024,December,1 North West Metro, Melton," 15,212 "," 6,924.1 "
2024,December,1 North West Metro, Merri-bek," 15,297 "," 8,200.6 "
2024,December,1 North West Metro, Moonee Valley," 9,888 "," 7,621.9 "
2024,December,1 North West Metro, Nillumbik," 2,282 "," 3,582.8 "
2024,December,1 North West Metro, Whittlesea," 17,051 "," 6,734.1 "
2024,December,1 North West Metro, Wyndham," 23,051 "," 6,839.9 "
2024,December,1 North West Metro, Yarra," 15,034 "," 14,928.6 "
2024,December,1 North West Metro,Total," 228,135 "," 9,382.1 "
2024,December,2 Eastern, Alpine, 414 ," 3,136.6 "
2024,December,2 Eastern, Bass Coast," 3,420 "," 7,851.8 "
2024,December,2 Eastern, Baw Baw," 5,845 "," 9,441.9 "
2024,December,2 Eastern, Benalla," 1,930 "," 13,187.6 "
2024,December,2 Eastern, Boroondara," 8,804 "," 4,945.8 "
2024,December,2 Eastern, East Gippsland," 5,743 "," 11,620.3 "
2024,December,2 Eastern, Greater Shepparton," 10,195 "," 14,590.5 "
2024,December,2 Eastern, Indigo, 662 ," 3,721.6 "
2024,December,2 Eastern, Knox," 11,606 "," 7,107.1 "
2024,December,2 Eastern, Latrobe," 13,353 "," 16,935.8 "
2024,December,2 Eastern, Manningham," 5,492 "," 4,168.2 "
2024,December,2 Eastern, Mansfield, 471 ," 4,368.4 "
2024,December,2 Eastern, Maroondah," 8,642 "," 7,240.6 "
2024,December,2 Eastern, Mitchell," 5,705 "," 10,118.1 "
2024,December,2 Eastern, Moira," 2,661 "," 8,629.5 "
2024,December,2 Eastern, Monash," 14,965 "," 7,151.1 "
2024,December,2 Eastern, Murrindindi, 640 ," 4,101.8 "
2024,December,2 Eastern, South Gippsland," 2,247 "," 7,243.2 "
2024,December,2 Eastern, Strathbogie, 776 ," 6,610.4 "
2024,December,2 Eastern, Towong, 242 ," 3,880.1 "
2024,December,2 Eastern, Wangaratta," 2,861 "," 9,483.2 "
2024,December,2 Eastern, Wellington," 5,483 "," 11,783.0 "
2024,December,2 Eastern, Whitehorse," 10,902 "," 5,942.4 "
2024,December,2 Eastern, Wodonga," 4,823 "," 10,759.9 "
2024,December,2 Eastern, Yarra Ranges," 7,892 "," 4,928.3 "
2024,December,2 Eastern,Total," 135,774 "," 7,633.6 "
2024,December,3 Southern Metro, Bayside," 5,586 "," 5,264.0 "
2024,December,3 Southern Metro, Cardinia," 8,988 "," 6,893.5 "
2024,December,3 Southern Metro, Casey," 27,251 "," 6,721.8 "
