Suburb,Suburb,Straight Line Distance to Melbourne CBD (kilometres),Driving distance (kilometres using most direct route ie tolls),Drive time with no traffic (estimated by Google Maps via time taken at 2am in minutes),Drive time with peak hour traffic (estimated by Google Maps via average time taken at 8am in minutes),Differential: peak hour less no traffic,,,,
Banyule,"Level 3, 1 Flintoff Street, Greensborough, VIC 3088",17.51,22,26,30,4,,,,
Brimbank,"301 Hampshire Rd, Sunshine VIC 3020",12.13,13.9,20,45,25,,,,
Darebin,"274 Gower Street, Preston, VIC 3072",9.14,10.1,16,45,29,,,,
Hobsons Bay,"115 Civic Parade, Altona, VIC 3018",12.87,17.1,22,37,15,,,,
Hume,"1079 Pascoe Vale Road, Broadmeadows, VIC 3047",15.37,16.2,22,41.5,19.5,,,,
Maribyrnong,"61 Napier St, Footscray VIC 3011",5.7,6.6,12,23.5,11.5,,,,
Melbourne,"Melbourne Town Hall, 120 Swanston Street, Melbourne VIC 3000.",0.23,0.75,4,5,1,,,,
Melton,"232 High Street, Melton, VIC 3337",36.32,43.3,35,65,30,,,,
Merri-bek,"90 Bell Street, Coburg, VIC 3058",8.28,8.9,14,38.5,24.5,,,,
Moonee Valley,"9 Kellaway Avenue, Moonee Ponds, VIC 3039",6.65,6.7,12,34,22,,,,
Nillumbik,"32 Civic Drive, Greensborough, VIC 3088",18.94,24.4,30,57.5,27.5,,,,
Whittlesea,"63 Church Street, Whittlesea, VIC 3757",36.34,40.4,50,102.5,52.5,,,,
Wyndham,"45 Princes Highway, Werribee, VIC 3030",27.35,30.7,28,52.5,24.5,,,,
Yarra,"333 Bridge Road, Richmond, VIC 3121",3.25,4.7,12,20,8,,,,
Boroondara,"8 Inglesby Road, Camberwell, Victoria 3124",8.61,10.6,16,33.5,17.5,,,,
Knox,"511 Burwood Highway, Wantirna South, VIC 3152",25.51,34.8,30,62.5,32.5,,,,
Manningham,"699 Doncaster Road, Doncaster, Victoria 3108",15.18,18.5,20,49,29,,,,
Maroondah,"179 Maroondah Highway, Ringwood VIC 3134",24.24,28,26,57.5,31.5,,,,
Monash,"293 Springvale Road, Glen Waverley 3150",19.14,24.6,26,45,19,,,,
Whitehorse,"399 Whitehorse Road, Nunawading, VIC 3131",19.08,21.8,24,55,31,,,,
Yarra Ranges,"15 Anderson Street, Lilydale, VIC 3140",34.81,41.1,40,80,40,,,,
Bayside,"76 Royal Avenue, Sandringham, VIC 3191",16.74,18.9,24,52.5,28.5,,,,
Cardinia,"20 Siding Avenue, Officer, VIC 3809",48.28,54.3,40,85,45,,,,
Casey,"2 Patrick Northeast Drive, Narre Warren, VIC 3805",37.33,41.9,40,67.5,27.5,,,,
Frankston,"30 Davey Street, Frankston 3199",39.47,47.7,45,77.5,32.5,,,,
Glen Eira,"Corner Glen Eira and Hawthorn Roads, Caulfield South, VIC 3162",8.9,12,16,45.5,29.5,,,,
Greater Dandenong,"225 Lonsdale St, Dandenong VIC 3175",29.25,35.2,30,67.5,37.5,,,,
Kingston,"1230 Nepean Hwy, Cheltenham VIC 3192",18.71,20.3,24,65,41,,,,
Mornington Penin'a,"90 Besgrove Street, Rosebud, VIC 3939",62.11,84.8,65,100,35,,,,
Port Phillip,"99a Carlisle Street, St Kilda, VIC 3182",6.31,8.4,12,32.5,20.5,,,,
Stonnington,"311 Glenferrie Road, Malvern, VIC 3144",7.31,10.2,16,29,13,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
