,,,,,,,,
,,,,,,,,
,,,,,,,,
"Summary Statistics Victorian Schools, February 2025",,,,,,,,
,,,,,,,,
"Table 3:  Full Time Equivalent of Students and Numbers of Schools by Local Government Area and Sector, February 2025 (b)",,,,,,,,
,,,,,,,,
,,,,,,,,
,Column Labels,,,,,,,
,Government,,Catholic,,Independent,,Total Sum of FTE Enrolments,Total Sum of No Of Schools
Row Labels,Sum of FTE Enrolments,Sum of No Of Schools,Sum of FTE Enrolments,Sum of No Of Schools,Sum of FTE Enrolments,Sum of No Of Schools,,
Alpine (S),1386.5,9,290,2,,,1676.5,11
Ararat (RC),1081.5,10,494,2,,,1575.5,12
Ballarat (C),11855.5,30,6881,14,4457.4,4,23193.9,48
Banyule (C),14108.6,28,6933,11,2743.2,3,23784.8,42
Bass Coast (S),3858.2,10,427,2,1006.6,3,5291.8,15
Baw Baw (S),6309.6,29,2246,5,1960.6,3,10516.2,37
Bayside (C),8306,15,2850,8,5651,4,16807,27
Benalla (RC),763.6,3,847.9,2,186.4,2,1797.9,7
Boroondara (C),14450.5,27,4757,12,14028.8,18,33236.3,57
Brimbank (C),18346.5,38,8555,19,3096,2,29997.5,59
Buloke (S),663.8,6,105.2,3,,,769,9
Campaspe (S),3747.1,17,2680.6,6,72,0,6499.7,23
Cardinia (S),13316,30,3963.6,7,5638.6,4,22918.2,41
Casey (C),51824.9,69,7892.2,15,11350.4,12,71067.5,96
Central Goldfields (S),1319.8,6,267,1,473,1,2059.8,8
Colac-Otway (S),1794.7,13,1527.2,4,,,3321.9,17
Corangamite (S),1655.3,11,688,3,,,2343.3,14
Darebin (C),16467.7,28,2629,11,1622,5,20718.7,44
East Gippsland (S),4572.9,27,1558,4,301.2,2,6432.1,33
Frankston (C),17126.4,32,2880.2,7,2567.6,3,22574.2,42
Gannawarra (S),877.1,8,237,2,123,1,1237.1,11
Glen Eira (C),12325.7,19,2644,6,5976.6,10,20946.3,35
Glenelg (S),1742.1,14,291,2,411.7,2,2444.8,18
Golden Plains (S),2092,12,394,1,,,2486,13
Greater Bendigo (C),12367.9,35,5511.9,13,2625.3,4,20505.1,52
Greater Dandenong (C),14668.6,27,4372.2,9,6634,6,25674.8,42
Greater Geelong (C),26115.6,56,12592.2,21,8745.6,8,47453.4,85
Greater Shepparton (C),6499.3,28,3477.6,7,1874.4,4,11851.3,39
Hepburn (S),1113.7,10,221,2,26,1,1360.7,13
Hindmarsh (S),573,5,55,1,79,2,707,8
Hobsons Bay (C),9433.8,17,4183.7,10,488,2,14105.5,29
Horsham (RC),2272.8,5,542,2,564,1,3378.8,8
Hume (C),28631.1,49,9612.4,16,8872,7,47115.5,72
Indigo (S),1659.9,13,210,3,87,1,1956.9,17
Kingston (C),14214.4,30,5385.2,11,2988.5,4,22588.1,45
Knox (C),12916.5,33,2703.4,10,3082.7,6,18702.6,49
Latrobe (C),7968.2,26,3249,8,736.5,0,11953.7,34
Loddon (S),827.3,7,17,1,,,844.3,8
Macedon Ranges (S),5289.5,18,2041.2,6,1661,3,8991.7,27
Manningham (C),13276.6,21,3756.2,9,1853.5,1,18886.3,31
Mansfield (S),1007.8,4,141.6,1,585.4,2,1734.8,7
Maribyrnong (C),8601.3,14,2928.8,7,41,1,11571.1,22
Maroondah (C),10632.4,23,2793.8,4,5658.7,6,19084.9,33
Melbourne (C),5446.5,11,2428.6,5,4986,9,12861.1,25
Melton (C),25386,32,6681,9,7761.1,6,39828.1,47
Merri-bek (C),10752.9,27,4439.6,14,3980.3,4,19172.8,45
Mildura (RC),7376.7,23,1739.8,5,1156.4,3,10272.9,31
Mitchell (S),5858.4,13,3366,4,,,9224.4,17
Moira (S),2753,13,1911.2,6,413.2,1,5077.4,20
Monash (C),25589.2,37,6777.9,13,4401,4,36768.1,54
Moonee Valley (C),10632,21,7730.6,13,3829,2,22191.6,36
Moorabool (S),3561,13,600,4,2535,1,6696,18
Mornington Peninsula (S),15827.1,36,4196.8,8,4126,5,24149.9,49
Mount Alexander (S),1850.6,12,60,1,136,2,2046.6,15
Moyne (S),986.2,9,321,3,,,1307.2,12
Murrindindi (S),1310.2,12,168.6,2,,,1478.8,14
Nillumbik (S),6841.5,20,1394,4,1488,3,9723.5,27
Northern Grampians (S),1106.7,11,249,2,,,1355.7,13
Port Phillip (C),7973.1,14,1063,4,1644,3,10680.1,21
Pyrenees (S),609.5,9,,,,,609.5,9
Queenscliffe (B),298.4,2,110,1,,,408.4,3
South Gippsland (S),3785,18,838,3,357,2,4980,23
Southern Grampians (S),1131.2,11,904.4,4,757,3,2792.6,18
Stonnington (C),4628.2,10,5260,8,3721,6,13609.2,24
Strathbogie (S),775.6,6,247,2,,,1022.6,8
Surf Coast (S),3504.3,10,666,2,456,1,4626.3,13
Swan Hill (RC),2035.1,10,1442.6,3,72,1,3549.7,14
Towong (S),780.5,8,137,2,,,917.5,10
Unincorporated Vic,109.6,3,,,63,1,172.6,4
Wangaratta (RC),2136.5,17,1695,5,1073,1,4904.5,23
Warrnambool (C),3630.4,9,2963.7,5,271.6,1,6865.7,15
Wellington (S),4118.4,25,1825.6,7,889,1,6833,33
West Wimmera (S),362.1,4,68,1,,,430.1,5
Whitehorse (C),17520.3,33,3895,10,3671.8,6,25087.1,49
Whittlesea (C),23923.4,41,10322.7,15,4332.2,5,38578.3,61
Wodonga (C),4892.7,9,2603,4,1279,3,8774.7,16
Wyndham (C),45299.4,49,11105.4,16,10783.6,6,67188.4,71
Yarra (C),8102.4,19,1364,5,1122,4,10588.4,28
Yarra Ranges (S),16222.2,57,4160.2,10,4719,11,25101.4,78
Yarriambiack (S),734.7,9,129,3,,,863.7,12
Grand Total,665912.7,1575,218695.8,493,178291.9,233,1062900.4,2301
